term	realization	matches	good	total	precision	kept	example_failure	example_failure_bound_words
porter dans son cœur	clitic	5	4	5	0.80	yes	Mais nous portons des armes dans nos cœurs.	portons … dans … nos … cœurs
refaire sa vie	clitic	5	5	5	1.00	yes		
avoir fait son temps	clitic	4	4	4	1.00	yes		
faire savoir quelque chose à quelqu’un	clitic	4	4	4	1.00	yes		
faire ses comptes	clitic	4	2	4	0.50	no	Comment avons-nous fait notre compte pour ne pas le voir ?	fait … notre … compte
faire son compte	clitic	4	2	4	0.50	no	Est-ce que tu ne fais pas tes comptes aujourd'hui ?	fais … tes … comptes
ne pas en croire ses oreilles	clitic	4	4	4	1.00	yes		
ne pas en croire ses yeux	clitic	4	4	4	1.00	yes		
prendre sous son aile	clitic	4	4	4	1.00	yes		
prunelle de ses yeux	clitic	4	4	4	1.00	yes		
tremper son biscuit	clitic	4	0	4	0.00	no	Tom a trempé son biscuit dans son lait.	trempé … son … biscuit
valoir son pesant d'or	clitic	4	4	4	1.00	yes		
vivre au-dessus de ses moyens	clitic	4	4	4	1.00	yes		
être à son avantage	clitic	4	0	4	0.00	no	Ajoutes-y le souffle de mon être, le battement de mon coeur.	mon … être
avoir ses entrées	filled	3	0	3	0.00	no	Ici, il y a une entrée d'air.	a … entrée … air
cacher sa joie	clitic	3	3	3	1.00	yes		
donner sa parole	filled	3	3	3	1.00	yes		
finir ses jours	clitic	3	3	3	1.00	yes		
garder son sang-froid	clitic	3	3	3	1.00	yes		
mettre de l'eau dans son vin	clitic	3	3	3	1.00	yes		
mettre son grain de sel	clitic	3	3	3	1.00	yes		
ouvrir ses portes	clitic	3	1	3	0.33	no	Maintenant ouvrez votre porte que nous puissions vous parler.	ouvrez … votre … porte
poser ses valises	clitic	3	0	3	0.00	no	J'ai posé ma valise.	posé … ma … valise
prendre son temps	filled	3	0	3	0.00	no	Maman a pris le temps hors du travail.	pris … temps … travail
ramener son cul	clitic	3	3	3	1.00	yes		
retrousser ses manches	clitic	3	3	3	1.00	yes		
sûr de son coup	clitic	3	3	3	1.00	yes		
tomber de sa chaise	clitic	3	3	3	1.00	yes		
trouver sa voie	clitic	3	2	3	0.67	yes	Comme j'ai trouvé ta voie, j'ai aussi trouvé ta maison.	trouvé … ta … voie
vendre son âme au diable	clitic	3	3	3	1.00	yes		
arrondir ses fins de mois	clitic	2	2	2	1.00	yes		
arrêter son char	clitic	2	2	2	1.00	yes		
attendre son heure	clitic	2	2	2	1.00	yes		
casser sa pipe	clitic	2	2	2	1.00	yes		
de son choix	filled	2	0	2	0.00	no	Le magasin dispose d'un grand choix de vins.	d' … choix … vins
faire ses dents	clitic	2	2	2	1.00	yes		
faire son beurre	clitic	2	2	2	1.00	yes		
faire son chemin	clitic	2	2	2	1.00	yes		
faire son maximum	clitic	2	2	2	1.00	yes		
faire son âge	clitic	2	2	2	1.00	yes		
paix à son âme	filled	2	0	2	0.00	no	Fichez la paix à Hitler.	paix … à … Hitler
perdre son sang-froid	clitic	2	2	2	1.00	yes		
revenir à ses moutons	clitic	2	2	2	1.00	yes		
signer son arrêt de mort	clitic	2	2	2	1.00	yes		
tisser sa toile	clitic	2	0	2	0.00	no	As-tu déjà vu une araignée tisser sa toile ?	tisser … sa … toile
à sa sauce	clitic	2	2	2	1.00	yes		
aller son chemin	clitic	1	1	1	1.00	yes		
avoir plus d'une corde à son arc	clitic	1	1	1	1.00	yes		
avoir ses entrées	clitic	1	1	1	1.00	yes		
bien porter son nom	clitic	1	1	1	1.00	yes		
cacher son jeu	clitic	1	1	1	1.00	yes		
changer son fusil d'épaule	clitic	1	1	1	1.00	yes		
comme on fait son lit on se couche	clitic	1	1	1	1.00	yes		
dans son ensemble	filled	1	0	1	0.00	no	Je joue de la basse dans un ensemble de guitares.	dans … ensemble … guitares
en avance sur son temps	clitic	1	1	1	1.00	yes		
en avoir sa dose	clitic	1	1	1	1.00	yes		
faire ses armes	filled	1	0	1	0.00	no	On y fait les armes les plus puissantes de tout l'univers.	fait … armes … univers
faire ses classes	clitic	1	1	1	1.00	yes		
faire son affaire	filled	1	1	1	1.00	yes		
faire son intéressant	clitic	1	1	1	1.00	yes		
faire son marché	clitic	1	1	1	1.00	yes		
faire son maximum	filled	1	1	1	1.00	yes		
faire son retour	clitic	1	1	1	1.00	yes		
l'heure de quelqu'un viendra	filled	1	0	1	0.00	no	Voici venue pour vous l'heure de vérité.	venue … l' … heure … de … vérité
manger à sa faim	clitic	1	0	1	0.00	no	Son manger, ses habits, c'est vous qui payez.	Son … manger
mettre sa main au feu	filled	1	0	1	0.00	no	J'ai envie de tous leur mettre des droites dans la face.	tous … mettre
mettre sa main à couper	clitic	1	1	1	1.00	yes		
montrer son vrai visage	clitic	1	1	1	1.00	yes		
montrer son vrai visage	filled	1	1	1	1.00	yes		
ne pas avoir dit son dernier mot	clitic	1	1	1	1.00	yes		
ne pas être dans son assiette	clitic	1	1	1	1.00	yes		
pointer le bout de son nez	filled	1	1	1	1.00	yes		
prendre dans ses filets	clitic	1	1	1	1.00	yes		
prendre ses distances	clitic	1	1	1	1.00	yes		
prendre son mal en patience	clitic	1	1	1	1.00	yes		
prendre son parti	filled	1	1	1	1.00	yes		
prendre son élan	clitic	1	1	1	1.00	yes		
péter plus haut que son cul	clitic	1	1	1	1.00	yes		
rendre la monnaie de sa pièce	clitic	1	1	1	1.00	yes		
régler ses comptes	filled	1	0	1	0.00	no	Je règle les comptes de la Famille.	règle … comptes … Famille
régler son compte	filled	1	0	1	0.00	no	Je règle les comptes de la Famille.	règle … comptes … Famille
son compte est bon	clitic	1	1	1	1.00	yes		
sur son trente-et-un	clitic	1	1	1	1.00	yes		
tirer son plan	filled	1	0	1	0.00	no	Tu es en train de tirer des plans sur la comète.	tirer … plans … comète
trouver son bonheur	filled	1	0	1	0.00	no	Elle a trouvé un porte-monnaie dans la rue.	trouvé … porte
